                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5974,                 2.7283,                 1.7278,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070366,              0.0032927,              0.0032927
                      2,                  1.584,                 2.4373,                 1.7033,                0.02371,                0.08152,                0.00965,                0.00288,                 3.0341,                 21.837,                  3.518,                 0.0403,              0.0065604,              0.0065604
                      3,                  1.484,                 2.2382,                 1.6249,                0.07448,                  0.131,                0.05277,                0.02599,                 2.7883,                 20.067,                 3.3051,               0.010169,              0.0097622,              0.0097622
                      4,                 1.4359,                 2.1295,                    1.6,                 0.1367,                0.26624,                0.08892,                  0.039,                 2.6204,                 11.285,                 2.9846,               0.009703,               0.009703,               0.009703
                      5,                 1.3901,                 2.0036,                 1.5569,                0.38995,                0.29101,                0.25627,                  0.106,                 2.1567,                  4.538,                 2.4122,               0.009703,               0.009703,               0.009703
                      6,                 1.3633,                 1.9159,                 1.5354,                0.41965,                0.26394,                 0.2464,                0.10065,                 2.3665,                 3.9078,                 2.5897,               0.009604,               0.009604,               0.009604
                      7,                 1.3335,                 1.8334,                 1.5167,                0.38969,                0.38646,                0.29445,                0.12904,                 2.1493,                  3.424,                 2.3924,               0.009505,               0.009505,               0.009505
                      8,                 1.3023,                 1.7529,                  1.484,                0.48815,                0.36226,                0.35441,                0.14884,                 2.1647,                 2.7656,                 2.3662,               0.009406,               0.009406,               0.009406
                      9,                 1.2942,                 1.7385,                 1.4814,                0.51245,                0.38787,                 0.3907,                0.16073,                 2.1659,                 2.3073,                 2.3947,               0.009307,               0.009307,               0.009307
                     10,                 1.2588,                 1.6645,                  1.466,                0.54162,                0.40012,                0.41157,                0.17612,                 2.0882,                 2.4953,                 2.2611,               0.009208,               0.009208,               0.009208
                     11,                 1.2625,                 1.6328,                 1.4509,                0.50959,                0.39889,                0.40105,                0.16582,                 2.1029,                 2.4147,                 2.3594,               0.009109,               0.009109,               0.009109
                     12,                 1.2322,                 1.5619,                 1.4355,                0.54554,                0.35187,                0.37645,                0.15651,                 2.1414,                 2.6594,                 2.2704,                0.00901,                0.00901,                0.00901
                     13,                 1.2122,                 1.5174,                 1.4159,                0.65079,                0.44859,                0.48788,                0.22043,                  2.042,                 2.0704,                 2.2077,               0.008911,               0.008911,               0.008911
