                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5974,                 2.7283,                 1.7278,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070366,              0.0032927,              0.0032927
                      2,                 1.5746,                 2.4208,                  1.694,                0.29181,                0.04575,                0.01775,                0.00609,                 2.9605,                 36.252,                 3.8851,               0.040235,              0.0064948,              0.0064948
                      3,                 1.4717,                 2.2006,                 1.6139,                0.29273,                0.09688,                   0.05,                0.01762,                 2.6786,                 15.329,                 3.1007,              0.0099715,               0.009565,               0.009565
                      4,                 1.4261,                  2.094,                 1.5935,                0.25519,                0.26563,                0.17257,                0.06871,                 2.3955,                 6.2728,                 2.6683,               0.009406,               0.009406,               0.009406
                      5,                 1.3904,                 1.9944,                 1.5518,                0.29018,                0.25408,                0.14845,                0.06532,                 2.3642,                 6.0773,                 2.7197,               0.009406,               0.009406,               0.009406
                      6,                 1.3746,                 1.9434,                 1.5384,                0.40901,                0.29169,                0.25586,                0.10204,                 2.2962,                 3.3586,                 2.5478,               0.009208,               0.009208,               0.009208
                      7,                 1.3329,                 1.8296,                 1.5169,                0.41148,                0.21461,                0.19156,                0.08782,                  2.115,                 3.4487,                 2.3451,                0.00901,                0.00901,                0.00901
                      8,                 1.3055,                 1.7606,                 1.4831,                0.60673,                0.36987,                0.38771,                0.16629,                 2.0448,                 2.8551,                 2.2337,               0.008812,               0.008812,               0.008812
                      9,                 1.2919,                 1.7031,                 1.4718,                0.46575,                0.43218,                0.41008,                0.18101,                 2.0802,                 2.5617,                 2.2433,               0.008614,               0.008614,               0.008614
                     10,                 1.2574,                 1.6465,                 1.4618,                0.50908,                0.36174,                0.36372,                0.14719,                 2.1021,                 2.6702,                 2.3226,               0.008416,               0.008416,               0.008416
                     11,                 1.2657,                 1.6094,                 1.4481,                0.63758,                0.42512,                0.45027,                0.20008,                 2.0807,                 2.1087,                 2.2382,               0.008218,               0.008218,               0.008218
                     12,                 1.2263,                 1.5396,                 1.4277,                0.63863,                0.48794,                 0.5129,                0.23064,                 2.0042,                 1.8362,                  2.143,                0.00802,                0.00802,                0.00802
                     13,                 1.1954,                 1.4703,                 1.4007,                 0.6371,                0.42214,                 0.4721,                0.20706,                 2.0341,                 1.9902,                  2.169,               0.007822,               0.007822,               0.007822
                     14,                 1.1953,                 1.4459,                 1.4023,                0.65702,                  0.488,                0.52433,                0.24672,                 1.9421,                 1.8592,                 2.0693,               0.007624,               0.007624,               0.007624
                     15,                 1.1822,                 1.4047,                 1.3894,                0.59725,                0.46663,                0.45499,                0.20925,                 2.0108,                 2.0072,                 2.1374,               0.007426,               0.007426,               0.007426
                     16,                 1.1635,                 1.3633,                 1.3779,                0.66881,                0.50272,                0.52991,                0.23991,                 1.9817,                 1.7192,                 2.0945,               0.007228,               0.007228,               0.007228
                     17,                  1.151,                   1.34,                 1.3633,                0.69703,                0.51527,                0.55697,                0.25811,                 1.9347,                 1.7341,                 2.0415,                0.00703,                0.00703,                0.00703
                     18,                 1.1321,                 1.3129,                 1.3584,                 0.7412,                0.55321,                 0.5984,                0.27574,                 1.9562,                 1.5891,                 2.0828,               0.006832,               0.006832,               0.006832
                     19,                  1.126,                 1.2854,                 1.3479,                0.72196,                  0.531,                0.58576,                0.27412,                 1.9034,                 1.6217,                 2.0256,               0.006634,               0.006634,               0.006634
                     20,                 1.1149,                 1.2625,                 1.3376,                 0.7493,                0.53715,                0.61064,                0.32269,                 1.7906,                 1.4886,                 1.9201,               0.006436,               0.006436,               0.006436
                     21,                 1.1138,                 1.2343,                 1.3281,                0.70094,                0.54633,                0.60187,                0.29013,                 1.8825,                  1.517,                 2.0052,               0.006238,               0.006238,               0.006238
                     22,                 1.0919,                 1.1971,                  1.324,                 0.6757,                0.54473,                0.56926,                0.27658,                  1.932,                 1.5316,                 2.0289,                0.00604,                0.00604,                0.00604
                     23,                 1.0797,                 1.1789,                 1.3149,                0.75321,                0.59494,                0.64213,                0.31705,                  1.808,                 1.4317,                 1.9995,               0.005842,               0.005842,               0.005842
                     24,                 1.0749,                  1.161,                 1.3068,                0.69861,                0.56743,                0.59944,                0.28547,                  1.912,                 1.5006,                  2.053,               0.005644,               0.005644,               0.005644
                     25,                 1.0483,                  1.111,                 1.2849,                0.71958,                0.58434,                0.62618,                0.33116,                 1.7235,                 1.3788,                 1.8641,               0.005446,               0.005446,               0.005446
                     26,                  1.038,                 1.0821,                 1.2796,                0.77049,                0.57657,                 0.6363,                0.33378,                 1.8084,                 1.4118,                 1.9423,               0.005248,               0.005248,               0.005248
                     27,                 1.0515,                 1.0976,                 1.2846,                0.74754,                0.58799,                0.65136,                0.32604,                 1.8369,                 1.3327,                 1.9687,                0.00505,                0.00505,                0.00505
                     28,                 1.0096,                  1.048,                 1.2613,                0.72268,                 0.6174,                0.64118,                0.32975,                 1.7616,                 1.3186,                 1.8963,               0.004852,               0.004852,               0.004852
                     29,                 1.0182,                 1.0386,                 1.2619,                0.80424,                0.62077,                0.68799,                0.33976,                 1.8214,                 1.2604,                 1.9519,               0.004654,               0.004654,               0.004654
                     30,                 1.0071,                 1.0258,                 1.2541,                0.78634,                0.61302,                0.66733,                0.32724,                 1.8263,                 1.2531,                 1.9252,               0.004456,               0.004456,               0.004456
                     31,                0.98425,                0.97414,                 1.2408,                0.75247,                0.62217,                0.65907,                0.31905,                 1.8141,                  1.265,                 1.8934,               0.004258,               0.004258,               0.004258
                     32,                0.96863,                0.95868,                 1.2295,                0.81107,                0.60271,                0.67229,                 0.3495,                   1.79,                 1.1738,                  1.906,                0.00406,                0.00406,                0.00406
                     33,                0.96073,                 0.9496,                 1.2255,                0.73601,                0.66382,                0.69413,                 0.3804,                 1.6306,                 1.1514,                 1.7798,               0.003862,               0.003862,               0.003862
                     34,                0.92674,                0.90227,                 1.2079,                0.84807,                0.63004,                0.71263,                0.38391,                 1.6948,                 1.0643,                 1.8507,               0.003664,               0.003664,               0.003664
                     35,                0.95238,                0.90703,                 1.2177,                0.82803,                0.65039,                0.71202,                 0.3805,                  1.646,                 1.1466,                 1.8042,               0.003466,               0.003466,               0.003466
